date,A679RL1Q225SBEA
1947-04-01,-20.4
1947-07-01,16.6
1947-10-01,0.0
1948-01-01,24.6
1948-04-01,-19.8
1948-07-01,-7.3
1948-10-01,44.4
1949-01-01,-19.4
1949-04-01,-32.2
1949-07-01,-22.3
1949-10-01,-8.4
1950-01-01,19.0
1950-04-01,74.3
1950-07-01,7.6
1950-10-01,32.4
1951-01-01,-24.5
1951-04-01,23.7
1951-07-01,30.6
1951-10-01,0.0
1952-01-01,28.4
1952-04-01,49.7
1952-07-01,-40.9
1952-10-01,43.1
1953-01-01,31.8
1953-04-01,5.4
1953-07-01,16.7
1953-10-01,-34.8
1954-01-01,-5.5
1954-04-01,-21.0
1954-07-01,6.2
1954-10-01,6.1
1955-01-01,-16.5
1955-04-01,59.1
1955-07-01,75.3
1955-10-01,26.0
1956-01-01,-20.6
1956-04-01,56.8
1956-07-01,-16.0
1956-10-01,9.2
1957-01-01,9.0
1957-04-01,44.2
1957-07-01,34.9
1957-10-01,-34.1
1958-01-01,-21.9
1958-04-01,-23.2
1958-07-01,9.4
1958-10-01,14.0
1959-01-01,8.9
1959-04-01,4.3
1959-07-01,13.1
1959-10-01,46.9
1960-01-01,23.9
1960-04-01,30.9
1960-07-01,-6.3
1960-10-01,33.2
1961-01-01,-19.9
1961-04-01,45.1
1961-07-01,6.1
1961-10-01,12.2
1962-01-01,31.5
1962-04-01,-7.7
1962-07-01,-7.9
1962-10-01,17.6
1963-01-01,32.5
1963-04-01,33.1
1963-07-01,22.4
1963-10-01,9.0
1964-01-01,20.7
1964-04-01,6.3
1964-07-01,0.0
1964-10-01,33.7
1965-01-01,7.7
1965-04-01,30.5
1965-07-01,24.3
1965-10-01,32.6
1966-01-01,37.7
1966-04-01,36.3
1966-07-01,25.4
1966-10-01,21.1
1967-01-01,-9.0
1967-04-01,3.6
1967-07-01,-6.9
1967-10-01,26.4
1968-01-01,8.2
1968-04-01,-4.4
1968-07-01,13.0
1968-10-01,-2.2
1969-01-01,35.9
1969-04-01,39.4
1969-07-01,32.4
1969-10-01,20.6
1970-01-01,14.0
1970-04-01,6.6
1970-07-01,-12.1
1970-10-01,5.0
1971-01-01,-5.5
1971-04-01,35.1
1971-07-01,11.1
1971-10-01,19.0
1972-01-01,23.1
1972-04-01,0.7
1972-07-01,10.5
1972-10-01,13.8
1973-01-01,25.7
1973-04-01,20.6
1973-07-01,14.5
1973-10-01,29.4
1974-01-01,8.6
1974-04-01,0.5
1974-07-01,29.8
1974-10-01,11.9
1975-01-01,-10.7
1975-04-01,-12.7
1975-07-01,-2.9
1975-10-01,1.0
1976-01-01,14.1
1976-04-01,32.0
1976-07-01,28.6
1976-10-01,35.9
1977-01-01,6.0
1977-04-01,22.4
1977-07-01,16.6
1977-10-01,29.4
1978-01-01,26.6
1978-04-01,46.4
1978-07-01,26.9
1978-10-01,24.9
1979-01-01,19.3
1979-04-01,7.9
1979-07-01,22.7
1979-10-01,23.8
1980-01-01,18.6
1980-04-01,6.5
1980-07-01,23.5
1980-10-01,7.2
1981-01-01,20.2
1981-04-01,13.3
1981-07-01,18.4
1981-10-01,20.8
1982-01-01,15.5
1982-04-01,-15.1
1982-07-01,2.2
1982-10-01,-7.7
1983-01-01,32.9
1983-04-01,32.6
1983-07-01,23.2
1983-10-01,41.6
1984-01-01,15.3
1984-04-01,33.3
1984-07-01,22.6
1984-10-01,26.6
1985-01-01,-2.2
1985-04-01,13.0
1985-07-01,-4.2
1985-10-01,16.7
1986-01-01,8.1
1986-04-01,12.8
1986-07-01,-3.5
1986-10-01,16.8
1987-01-01,-5.0
1987-04-01,10.1
1987-07-01,19.8
1987-10-01,0.1
1988-01-01,10.2
1988-04-01,19.1
1988-07-01,9.2
1988-10-01,7.1
1989-01-01,15.1
1989-04-01,22.5
1989-07-01,14.1
1989-10-01,6.2
1990-01-01,5.4
1990-04-01,-2.2
1990-07-01,-5.4
1990-10-01,9.1
1991-01-01,-5.8
1991-04-01,10.3
1991-07-01,13.1
1991-10-01,13.1
1992-01-01,8.7
1992-04-01,23.7
1992-07-01,23.9
1992-10-01,7.2
1993-01-01,11.7
1993-04-01,9.0
1993-07-01,23.0
1993-10-01,7.6
1994-01-01,13.0
1994-04-01,10.2
1994-07-01,12.1
1994-10-01,19.1
1995-01-01,20.6
1995-04-01,21.4
1995-07-01,8.5
1995-10-01,25.1
1996-01-01,22.9
1996-04-01,18.7
1996-07-01,20.9
1996-10-01,14.7
1997-01-01,28.1
1997-04-01,24.8
1997-07-01,34.0
1997-10-01,15.6
1998-01-01,30.2
1998-04-01,18.7
1998-07-01,14.0
1998-10-01,27.4
1999-01-01,24.6
1999-04-01,33.9
1999-07-01,19.6
1999-10-01,3.1
2000-01-01,30.3
2000-04-01,21.9
2000-07-01,6.3
2000-10-01,13.5
2001-01-01,0.0
2001-04-01,-15.7
2001-07-01,-9.7
2001-10-01,-3.9
2002-01-01,-3.2
2002-04-01,1.5
2002-07-01,11.5
2002-10-01,-9.6
2003-01-01,14.5
2003-04-01,9.9
2003-07-01,33.9
2003-10-01,22.0
2004-01-01,1.4
2004-04-01,8.9
2004-07-01,11.7
2004-10-01,7.6
2005-01-01,7.8
2005-04-01,12.5
2005-07-01,15.6
2005-10-01,8.1
2006-01-01,21.3
2006-04-01,3.7
2006-07-01,11.5
2006-10-01,5.6
2007-01-01,24.8
2007-04-01,5.2
2007-07-01,11.2
2007-10-01,20.9
2008-01-01,7.9
2008-04-01,4.3
2008-07-01,-2.9
2008-10-01,-17.1
2009-01-01,-7.1
2009-04-01,4.4
2009-07-01,14.7
2009-10-01,22.8
2010-01-01,8.3
2010-04-01,4.9
2010-07-01,11.4
2010-10-01,5.7
2011-01-01,0.8
2011-04-01,13.8
2011-07-01,12.1
2011-10-01,7.3
2012-01-01,16.7
2012-04-01,10.7
2012-07-01,-3.6
2012-10-01,11.8
2013-01-01,16.5
2013-04-01,-3.5
2013-07-01,8.7
2013-10-01,7.9
2014-01-01,5.1
2014-04-01,14.0
2014-07-01,5.0
2014-10-01,7.9
2015-01-01,4.6
2015-04-01,7.0
2015-07-01,8.9
2015-10-01,8.8
2016-01-01,9.5
2016-04-01,6.4
2016-07-01,9.7
2016-10-01,9.9
2017-01-01,9.2
2017-04-01,13.7
2017-07-01,9.4
2017-10-01,13.7
2018-01-01,13.0
2018-04-01,7.8
2018-07-01,8.5
2018-10-01,5.2
2019-01-01,2.6
2019-04-01,8.1
2019-07-01,1.9
2019-10-01,6.0
2020-01-01,-3.6
2020-04-01,7.9
2020-07-01,18.0
2020-10-01,13.6
2021-01-01,18.3
2021-04-01,8.4
2021-07-01,3.4
2021-10-01,19.8
2022-01-01,21.1
2022-04-01,3.9
2022-07-01,8.8
2022-10-01,-1.4
2023-01-01,-0.2
2023-04-01,0.9
2023-07-01,2.6
2023-10-01,9.6
2024-01-01,7.6
2024-04-01,4.6
2024-07-01,8.7
2024-10-01,-1.8
