date,PATENTUSALLTOTAL
1992-01-01,58694.0
1993-01-01,61226.0
1994-01-01,64244.0
1995-01-01,64399.0
1996-01-01,69328.0
1997-01-01,69860.0
1998-01-01,90649.0
1999-01-01,94040.0
2000-01-01,96920.0
2001-01-01,98594.0
2002-01-01,97086.0
2003-01-01,98563.0
2004-01-01,94110.0
2005-01-01,82562.0
2006-01-01,102239.0
2007-01-01,93665.0
2008-01-01,91980.0
2009-01-01,95032.0
2010-01-01,121164.0
2011-01-01,121247.0
2012-01-01,134187.0
2013-01-01,147652.0
2014-01-01,158709.0
2015-01-01,155982.0
2016-01-01,160540.0
2017-01-01,169208.0
2018-01-01,161809.0
2019-01-01,186118.0
2020-01-01,183147.0
